iter	Passed	Remaining
840	295911	2518939
841	296315	2519036
842	296719	2519126
843	297136	2519319
844	297539	2519406
845	297970	2519713
846	298464	2520561
847	298878	2520729
848	299310	2521045
849	299727	2521241
850	300154	2521513
851	300603	2521963
852	300987	2521869
853	301354	2521640
854	301736	2521532
855	302106	2521316
856	302506	2521358
857	303016	2522311
858	303442	2522563
859	303868	2522812
860	304270	2522863
861	304674	2522931
862	305078	2522992
863	305542	2523550
864	305960	2523733
865	306378	2523910
866	306799	2524105
867	307195	2524096
868	307583	2524024
869	308016	2524323
870	308358	2523867
871	308758	2523884
872	309156	2523893
873	309610	2524350
874	310032	2524554
875	310544	2525480
876	310977	2525765
877	311343	2525497
878	311759	2525639
879	312172	2525762
880	312627	2526212
881	313087	2526710
882	313502	2526837
883	313897	2526805
884	314279	2526666
885	314403	2524453
886	314820	2524600
887	315197	2524418
888	315604	2524483
889	316024	2524644
890	316456	2524902
891	316848	2524842
892	316936	2522359
893	317332	2522329
894	317706	2522126
895	318150	2522476
896	318265	2520220
897	318655	2520143
898	319072	2520279
899	319147	2517722
900	319581	2517989
901	319985	2518023
902	320408	2518208
903	320811	2518230
904	321261	2518621
905	321703	2518948
906	322123	2519100
907	322559	2519377
908	323007	2519743
909	323449	2520060
910	323867	2520195
911	324335	2520711
912	324795	2521168
913	325186	2521084
914	325675	2521760
915	326092	2521877
916	326516	2522048
917	326934	2522166
918	326990	2519498
919	327154	2517666
920	327282	2515562
921	327408	2513448
922	327536	2511346
923	327682	2509392
924	327801	2507238
925	327931	2505168
926	328060	2503096
927	328206	2501158
928	328329	2499054
929	328528	2497520
930	328693	2495743
931	328854	2493931
932	329028	2492221
933	329195	2490469
934	329376	2488816
935	329537	2487023
936	329692	2485183
937	329844	2483325
938	329865	2480488
939	329900	2477764
940	330064	2476010
941	330239	2474343
942	330423	2472746
943	330608	2471159
944	330786	2469525
945	330960	2467860
946	331111	2466027
947	331264	2464219
948	331436	2462547
949	331600	2460827
950	331813	2459469
951	331989	2457838
952	332149	2456092
953	332332	2454524
954	332542	2453151
955	332807	2452191
956	333061	2451150
957	333317	2450125
958	333555	2448975
959	333829	2448085
960	334148	2447524
961	334421	2446629
962	334654	2445445
963	334914	2444456
964	335223	2443828
965	335502	2442989
966	335794	2442237
967	336056	2441273
968	336229	2439656
969	336378	2437878
970	336531	2436128
971	336672	2434295
972	336800	2432370
973	337064	2431435
974	337431	2431234
975	337778	2430894
976	338219	2431231
977	338591	2431073
978	338736	2429284
979	339135	2429320
980	339506	2429147
981	339861	2428867
982	340278	2429027
983	340412	2427166
984	340771	2426918
985	341163	2426894
986	341576	2427026
987	342011	2427314
988	342485	2427869
989	342911	2428087
990	343350	2428398
991	343752	2428446
992	344178	2428659
993	344557	2428540
